TimeKey,CarrierKey,OriginKey,DestKey,PASSENGERS,DISTANCE
2018-06-01,2,12917,12917,0.0,0.0
2018-06-01,10,11267,11066,0.0,71.0
2018-01-01,11,12917,14131,0.0,86.0
2018-02-01,11,12917,14131,0.0,86.0
2018-03-01,11,12917,14131,0.0,86.0
2018-04-01,11,12917,14131,0.0,86.0
2018-05-01,11,12917,14131,0.0,86.0
2018-06-01,11,12917,14131,0.0,86.0
2018-07-01,11,12917,14131,0.0,86.0
2018-08-01,11,12917,14131,0.0,86.0
2018-09-01,11,12917,14131,0.0,86.0
2018-10-01,11,12917,14131,0.0,86.0
2018-11-01,11,12917,14131,0.0,86.0
2018-12-01,11,12917,14131,0.0,86.0
2018-01-01,11,12223,12917,0.0,102.0
2018-02-01,11,12223,12917,0.0,102.0
2018-03-01,11,12223,12917,0.0,102.0
2018-04-01,11,12223,12917,0.0,102.0
2018-05-01,11,12223,12917,0.0,102.0
2018-06-01,11,12223,12917,0.0,102.0
2018-07-01,11,12223,12917,0.0,102.0
2018-08-01,11,12223,12917,0.0,102.0
2018-09-01,11,12223,12917,0.0,102.0
2018-10-01,11,12223,12917,0.0,102.0
2018-11-01,11,12223,12917,0.0,102.0
2018-12-01,11,12223,12917,0.0,102.0
2018-04-01,11,12917,12223,0.0,102.0
2018-11-01,60,12917,11193,0.0,107.0
2018-06-01,2,11193,12917,0.0,107.0
2018-06-01,2,12917,11193,0.0,107.0
2018-04-01,67,11066,11042,0.0,112.0
2018-01-01,10,11066,11042,0.0,112.0
2018-06-01,69,11042,11066,0.0,112.0
2018-08-01,69,11193,11066,0.0,115.0
2018-01-01,11,11042,12917,0.0,124.0
2018-02-01,11,11042,12917,0.0,124.0
2018-03-01,11,11042,12917,0.0,124.0
2018-04-01,11,11042,12917,0.0,124.0
2018-05-01,11,11042,12917,0.0,124.0
2018-06-01,11,11042,12917,0.0,124.0
2018-07-01,11,11042,12917,0.0,124.0
2018-08-01,11,11042,12917,0.0,124.0
2018-09-01,11,11042,12917,0.0,124.0
2018-10-01,11,11042,12917,0.0,124.0
2018-11-01,11,11042,12917,0.0,124.0
2018-09-01,11,12917,11042,0.0,124.0
2018-10-01,11,12917,11042,0.0,124.0
2018-06-01,85,11066,11146,0.0,132.0
2018-01-01,87,11823,11066,0.0,139.0
2018-11-01,85,11066,16133,0.0,145.0
2018-01-01,85,14122,11066,0.0,145.0
2018-12-01,91,14122,11066,0.0,145.0
2018-03-01,92,11066,14122,0.0,145.0
2018-04-01,92,11066,14122,0.0,145.0
2018-06-01,92,11066,14122,0.0,145.0
2018-02-01,92,14122,11066,0.0,145.0
2018-03-01,92,14122,11066,0.0,145.0
2018-04-01,92,14122,11066,0.0,145.0
2018-06-01,92,14122,11066,0.0,145.0
2018-01-01,99,14122,12917,0.0,150.0
2018-02-01,99,14122,12917,0.0,150.0
2018-03-01,99,14122,12917,0.0,150.0
2018-04-01,99,14122,12917,0.0,150.0
2018-02-01,85,11066,11433,0.0,155.0
2018-02-01,91,11066,11433,0.0,155.0
2018-12-01,106,11066,11433,0.0,155.0
2018-01-01,87,11066,16091,0.0,158.0
2018-03-01,87,11066,16091,0.0,158.0
2018-10-01,87,11066,16091,0.0,158.0
2018-01-01,87,16091,11066,0.0,158.0
2018-03-01,87,16091,11066,0.0,158.0
2018-06-01,87,16091,11066,0.0,158.0
2018-07-01,113,11066,16091,0.0,158.0
2018-07-01,113,16091,11066,0.0,158.0
2018-02-01,91,11066,12945,0.0,164.0
2018-01-01,11,11433,12917,0.0,167.0
2018-02-01,11,11433,12917,0.0,167.0
2018-03-01,11,11433,12917,0.0,167.0
2018-04-01,11,11433,12917,0.0,167.0
2018-05-01,11,11433,12917,0.0,167.0
2018-06-01,11,11433,12917,0.0,167.0
2018-07-01,11,11433,12917,0.0,167.0
2018-08-01,11,11433,12917,0.0,167.0
2018-09-01,11,11433,12917,0.0,167.0
2018-10-01,11,11433,12917,0.0,167.0
2018-11-01,11,11433,12917,0.0,167.0
2018-05-01,11,12917,11433,0.0,167.0
2018-09-01,11,12917,11433,0.0,167.0
2018-05-01,133,11433,12917,0.0,167.0
2018-09-01,11,10654,12917,0.0,170.0
2018-01-01,11,12339,12917,0.0,179.0
2018-02-01,11,12339,12917,0.0,179.0
2018-03-01,11,12339,12917,0.0,179.0
2018-04-01,11,12339,12917,0.0,179.0
2018-05-01,11,12339,12917,0.0,179.0
2018-06-01,11,12339,12917,0.0,179.0
2018-07-01,11,12339,12917,0.0,179.0
2018-08-01,11,12339,12917,0.0,179.0
2018-09-01,11,12339,12917,0.0,179.0
2018-10-01,11,12339,12917,0.0,179.0
2018-11-01,11,12339,12917,0.0,179.0
2018-12-01,11,12339,12917,0.0,179.0
2018-01-01,11,12917,12339,0.0,179.0
2018-02-01,11,12917,12339,0.0,179.0
2018-03-01,11,12917,12339,0.0,179.0
2018-04-01,11,12917,12339,0.0,179.0
2018-05-01,11,12917,12339,0.0,179.0
2018-06-01,11,12917,12339,0.0,179.0
2018-07-01,11,12917,12339,0.0,179.0
2018-08-01,11,12917,12339,0.0,179.0
2018-09-01,11,12917,12339,0.0,179.0
2018-10-01,11,12917,12339,0.0,179.0
2018-11-01,11,12917,12339,0.0,179.0
2018-12-01,11,12917,12339,0.0,179.0
2018-02-01,160,12917,12021,0.0,180.0
2018-03-01,160,12917,12021,0.0,180.0
2018-03-01,162,11066,12339,0.0,182.0
2018-04-01,67,11066,12339,0.0,182.0
2018-05-01,67,11066,12339,0.0,182.0
2018-04-01,67,12339,11066,0.0,182.0
2018-01-01,99,12917,14730,0.0,189.0
2018-02-01,99,12917,14730,0.0,189.0
2018-03-01,99,12917,14730,0.0,189.0
2018-04-01,99,12917,14730,0.0,189.0
2018-05-01,99,12917,14730,0.0,189.0
2018-06-01,99,12917,14730,0.0,189.0
2018-07-01,99,12917,14730,0.0,189.0
2018-08-01,99,12917,14730,0.0,189.0
2018-09-01,99,12917,14730,0.0,189.0
2018-10-01,99,12917,14730,0.0,189.0
2018-11-01,99,12917,14730,0.0,189.0
2018-12-01,99,12917,14730,0.0,189.0
2018-01-01,99,14730,12917,0.0,189.0
2018-02-01,99,14730,12917,0.0,189.0
2018-03-01,99,14730,12917,0.0,189.0
2018-04-01,99,14730,12917,0.0,189.0
2018-05-01,99,14730,12917,0.0,189.0
