DestKey,DEST,DEST_CITY_NAME,DEST_STATE_ABR
13619,NC1,"Gastonia, NC",NC
11996,GSP,"Greer, SC",SC
11375,DOV,"Dover, DE",DE
13667,NGU,"Norfolk, VA",VA
12323,ILM,"Wilmington, NC",NC
13732,NQA,"Millington, TN",TN
10268,ALO,"Waterloo, IA",IA
14783,SGF,"Springfield, MO",MO
14769,SFM,"Sanford, ME",ME
14120,PIR,"Pierre, SD",SD
14853,SKF,"San Antonio, TX",TX
11109,COS,"Colorado Springs, CO",CO
13829,OGD,"Ogden, UT",UT
13087,LSV,"Las Vegas, NV",NV
16218,YUM,"Yuma, AZ",AZ
15601,VIS,"Visalia, CA",CA
15045,SUU,"Fairfield, CA",CA
14922,SNS,"Salinas/Monterey, CA",CA
12184,HOM,"Homer, AK",AK
12982,LIH,"Lihue, HI",HI
13446,MPO,"Mt. Pocono, PA",PA
11456,DXR,"Danbury, CT",CT
14576,ROC,"Rochester, NY",NY
10868,CAE,"Columbia, SC",SC
14996,SSI,"Brunswick, GA",GA
10874,CAK,"Akron, OH",OH
11823,FWA,"Fort Wayne, IN",IN
11267,DAY,"Dayton, OH",OH
11123,CPS,"St. Louis, MO",MO
10559,BFI,"Seattle, WA",WA
12965,LGU,"Logan, UT",UT
12951,LFT,"Lafayette, LA",LA
10466,AZA,"Phoenix, AZ",AZ
14986,SRQ,"Sarasota/Bradenton, FL",FL
12055,GYY,"Gary, IN",IN
14656,RWI,"Rocky Mount, NC",NC
12217,HSV,"Huntsville, AL",AL
14092,PGV,"Greenville, NC",NC
15374,TUP,"Tupelo, MS",MS
13422,MOB,"Mobile, AL",AL
14533,RIV,"Riverside, CA",CA
10647,BKL,"Cleveland, OH",OH
10620,BIL,"Billings, MT",MT
15842,WRI,"Fort Dix, NJ",NJ
10431,AVL,"Asheville, NC",NC
15295,TOL,"Toledo, OH",OH
15412,TYS,"Knoxville, TN",TN
12348,INT,"Winston-Salem, NC",NC
14108,PIA,"Peoria, IL",IL
11977,GRB,"Green Bay, WI",WI
14397,QMA,"Kennesaw, GA",GA
10380,ASN,"Talladega, AL",AL
11728,FOK,"Westhampton, NY",NY
13277,MGM,"Montgomery, AL",AL
15249,TLH,"Tallahassee, FL",FL
11726,FOE,"Topeka, KS",KS
10185,AEX,"Alexandria, LA",LA
11430,DTO,"Denton, TX",TX
11415,DRT,"Del Rio, TX",TX
10747,BRO,"Brownsville, TX",TX
13256,MFE,"Mission/McAllen/Edinburg, TX",TX
10849,BZN,"Bozeman, MT",MT
16728,N3C,"Franklin, NC",NC
12108,HFD,"Hartford, CT",CT
11503,EGE,"Eagle, CO",CO
14689,SBA,"Santa Barbara, CA",CA
14320,PWK,"Chicago, IL",IL
10329,APF,"Naples, FL",FL
15618,VNY,"Van Nuys, CA",CA
11961,GON,"New London/Groton, CT",CT
12448,JAN,"Jackson/Vicksburg, MS",MS
12094,HDN,"Hayden, CO",CO
13501,MTH,"Marathon, FL",FL
11252,DAB,"Daytona Beach, FL",FL
10980,CHA,"Chattanooga, TN",TN
