OriginKey,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR
13796,OAK,"Oakland, CA",CA
14082,PGD,"Punta Gorda, FL",FL
14761,SFB,"Sanford, FL",FL
14112,PIE,"St. Petersburg, FL",FL
11027,CKB,"Clarksburg/Fairmont, WV",WV
12945,LEX,"Lexington, KY",KY
14802,SHD,"Staunton, VA",VA
10208,AGS,"Augusta, GA",GA
10785,BTV,"Burlington, VT",VT
14814,SHV,"Shreveport, LA",LA
10581,BGR,"Bangor, ME",ME
10171,ADS,"Dallas, TX",TX
10194,AFW,"Dallas/Fort Worth, TX",TX
13898,OPF,"Miami, FL",FL
10558,BFF,"Scottsbluff, NE",NE
11233,CYS,"Cheyenne, WY",WY
11415,DRT,"Del Rio, TX",TX
13256,MFE,"Mission/McAllen/Edinburg, TX",TX
14543,RKS,"Rock Springs, WY",WY
14113,PIH,"Pocatello, ID",ID
13785,NYL,"Yuma, AZ",AZ
16101,YKM,"Yakima, WA",WA
11537,ELM,"Elmira/Corning, NY",NY
11456,DXR,"Danbury, CT",CT
13771,NUQ,"Mountain View, CA",CA
12758,KOA,"Kona, HI",HI
10965,CGF,"Cleveland, OH",OH
12982,LIH,"Lihue, HI",HI
14320,PWK,"Chicago, IL",IL
14996,SSI,"Brunswick, GA",GA
14050,PDK,"Atlanta, GA",GA
11140,CRP,"Corpus Christi, TX",TX
10849,BZN,"Bozeman, MT",MT
10615,BIF,"El Paso, TX",TX
12173,HNL,"Honolulu, HI",HI
12965,LGU,"Logan, UT",UT
12951,LFT,"Lafayette, LA",LA
15323,TRI,"Bristol/Johnson City/Kingsport, TN",TN
14877,SLN,"Salina, KS",KS
11898,GFK,"Grand Forks, ND",ND
11453,DWH,"Houston, TX",TX
10154,ACK,"Nantucket, MA",MA
10478,BAF,"Westfield, MA",MA
15295,TOL,"Toledo, OH",OH
12337,IN2,"Indianapolis, IN",IN
12898,LBE,"Latrobe, PA",PA
15153,TCL,"Tuscaloosa, AL",AL
11728,FOK,"Westhampton, NY",NY
11775,FSD,"Sioux Falls, SD",SD
11789,FTW,"Dallas/Fort Worth, TX",TX
11648,FCA,"Kalispell, MT",MT
13964,OTH,"North Bend/Coos Bay, OR",OR
12448,JAN,"Jackson/Vicksburg, MS",MS
12094,HDN,"Hayden, CO",CO
16680,N1Y,"Canandaigua, NY",NY
12358,IOW,"Iowa City, IA",IA
12108,HFD,"Hartford, CT",CT
15618,VNY,"Van Nuys, CA",CA
12211,HSH,"Las Vegas, NV",NV
11961,GON,"New London/Groton, CT",CT
11624,EYW,"Key West, FL",FL
16876,SC6,"Charleston, SC",SC
10779,BTM,"Butte, MT",MT
10329,APF,"Naples, FL",FL
13501,MTH,"Marathon, FL",FL
11252,DAB,"Daytona Beach, FL",FL
14689,SBA,"Santa Barbara, CA",CA
11109,COS,"Colorado Springs, CO",CO
15380,TVC,"Traverse City, MI",MI
12124,HHH,"Hilton Head, SC",SC
14131,PKB,"Parkersburg, WV",WV
11058,CLU,"Columbus, IN",IN
14574,ROA,"Roanoke, VA",VA
10990,CHO,"Charlottesville, VA",VA
14108,PIA,"Peoria, IL",IL
15043,SUS,"St. Louis, MO",MO
11790,FTY,"Atlanta, GA",GA
10419,AUO,"Auburn, AL",AL
15919,XNA,"Fayetteville, AR",AR
14769,SFM,"Sanford, ME",ME
12598,JZT,"Arlington, TX",TX
14792,SGR,"Sugar Land, TX",TX
11921,GJT,"Grand Junction, CO",CO
12441,JAC,"Jackson, WY",WY
14314,PVU,"Provo, UT",UT
14533,RIV,"Riverside, CA",CA
