PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,95.00,YV,Mesa Airlines Inc.,11042,CLE,"Cleveland, OH",OH,11433,DTW,"Detroit, MI",MI,2019,3,7
0.00,95.00,YV,Mesa Airlines Inc.,11433,DTW,"Detroit, MI",MI,11042,CLE,"Cleveland, OH",OH,2019,2,5
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,1,1
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,1,2
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,1,3
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,2,4
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,2,5
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,2,6
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,3,7
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,3,8
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2019,4,12
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,1,1
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,1,2
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,1,3
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,2,4
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,2,5
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,2,6
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,3,7
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,3,8
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2019,4,12
0.00,104.00,U7,USA Jet Airlines Inc.,11042,CLE,"Cleveland, OH",OH,16091,YIP,"Detroit, MI",MI,2019,1,3
0.00,104.00,U7,USA Jet Airlines Inc.,11042,CLE,"Cleveland, OH",OH,16091,YIP,"Detroit, MI",MI,2019,4,12
0.00,106.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2019,2,4
0.00,106.00,FX,Federal Express Corporation,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2019,1,3
0.00,106.00,UA,United Air Lines Inc.,11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2019,3,7
0.00,106.00,UA,United Air Lines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2019,3,7
0.00,106.00,UA,United Air Lines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2019,3,8
0.00,106.00,UA,United Air Lines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2019,3,9
0.00,106.00,YV,Mesa Airlines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2019,2,5
0.00,106.00,YX,Republic Airline,11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2019,4,12
0.00,107.00,5Y,Atlas Air Inc.,12917,LCK,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,1,1
0.00,107.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,4,12
0.00,107.00,KAQ,Kalitta Air LLC,12917,LCK,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,2,4
0.00,111.00,AMQ,Ameristar Air Cargo,12339,IND,"Indianapolis, IN",IN,11267,DAY,"Dayton, OH",OH,2019,2,6
0.00,111.00,C5,CommuteAir LLC dba CommuteAir,12339,IND,"Indianapolis, IN",IN,11267,DAY,"Dayton, OH",OH,2019,4,12
0.00,111.00,GL,Miami Air International,12339,IND,"Indianapolis, IN",IN,11267,DAY,"Dayton, OH",OH,2019,4,11
0.00,112.00,UA,United Air Lines Inc.,11042,CLE,"Cleveland, OH",OH,11066,CMH,"Columbus, OH",OH,2019,4,10
0.00,112.00,UA,United Air Lines Inc.,11042,CLE,"Cleveland, OH",OH,11066,CMH,"Columbus, OH",OH,2019,4,11
0.00,112.00,UA,United Air Lines Inc.,11042,CLE,"Cleveland, OH",OH,11066,CMH,"Columbus, OH",OH,2019,4,12
0.00,112.00,UA,United Air Lines Inc.,11066,CMH,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2019,1,2
0.00,112.00,YV,Mesa Airlines Inc.,11042,CLE,"Cleveland, OH",OH,11066,CMH,"Columbus, OH",OH,2019,1,2
0.00,115.00,YV,Mesa Airlines Inc.,11066,CMH,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,2,5
0.00,118.00,GFQ,Gulf And Caribbean Cargo,11042,CLE,"Cleveland, OH",OH,14275,PTK,"Pontiac, MI",MI,2019,2,6
0.00,124.00,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2019,4,11
0.00,124.00,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2019,4,12
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,1,1
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,1,2
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,1,3
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,2,4
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,2,5
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,2,6
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,3,7
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,3,8
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2019,4,10
0.00,124.00,GL,Miami Air International,12917,LCK,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2019,1,1
0.00,136.00,8C,Air Transport International,14730,SDF,"Louisville, KY",KY,12324,ILN,"Wilmington, OH",OH,2019,4,10
0.00,144.00,FX,Federal Express Corporation,11823,FWA,"Fort Wayne, IN",IN,12917,LCK,"Columbus, OH",OH,2019,3,9
0.00,144.00,U7,USA Jet Airlines Inc.,11267,DAY,"Dayton, OH",OH,14730,SDF,"Louisville, KY",KY,2019,3,8
0.00,145.00,U7,USA Jet Airlines Inc.,11042,CLE,"Cleveland, OH",OH,11721,FNT,"Flint, MI",MI,2019,3,8
0.00,145.00,WN,Southwest Airlines Co.,11066,CMH,"Columbus, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2019,2,4
0.00,150.00,AMQ,Ameristar Air Cargo,11027,CKB,"Clarksburg/Fairmont, WV",WV,11066,CMH,"Columbus, OH",OH,2019,1,1
0.00,150.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,11027,CKB,"Clarksburg/Fairmont, WV",WV,2019,1,1
0.00,150.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2019,4,11
0.00,155.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2019,4,11
0.00,155.00,C5,CommuteAir LLC dba CommuteAir,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2019,4,12
0.00,155.00,WN,Southwest Airlines Co.,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2019,2,4
0.00,155.00,YV,Mesa Airlines Inc.,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2019,2,6
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2019,1,1
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2019,1,3
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2019,4,12
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2019,1,2
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2019,1,3
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2019,4,12
0.00,162.00,C5,CommuteAir LLC dba CommuteAir,11042,CLE,"Cleveland, OH",OH,11267,DAY,"Dayton, OH",OH,2019,1,2
0.00,164.00,AMQ,Ameristar Air Cargo,12945,LEX,"Lexington, KY",KY,11066,CMH,"Columbus, OH",OH,2019,1,2
0.00,165.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,16091,YIP,"Detroit, MI",MI,11267,DAY,"Dayton, OH",OH,2019,3,8
0.00,165.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11267,DAY,"Dayton, OH",OH,2019,2,6
0.00,165.00,U7,USA Jet Airlines Inc.,11267,DAY,"Dayton, OH",OH,16091,YIP,"Detroit, MI",MI,2019,4,12
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,1,1
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,1,2
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,1,3
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,2,4
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,2,5
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,2,6
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,3,7
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,3,8
0.00,167.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2019,2,5
0.00,167.00,KD,Western Global,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2019,1,2
0.00,169.00,YV,Mesa Airlines Inc.,11027,CKB,"Clarksburg/Fairmont, WV",WV,11042,CLE,"Cleveland, OH",OH,2019,1,1
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,1,1
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,1,2
