PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,0.00,GCA,"Global Crossing Airlines, Inc.",11066,CMH,"Columbus, OH",OH,11066,CMH,"Columbus, OH",OH,2023,1,1
0.00,12.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,CLE,"Cleveland, OH",OH,10647,BKL,"Cleveland, OH",OH,2023,3,9
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,1,1
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,1,2
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,2,6
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,3,8
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,4,11
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2023,4,12
0.00,47.00,KLQ,Kalitta Charters II,16091,YIP,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2023,4,12
0.00,47.00,U7,USA Jet Airlines Inc.,16091,YIP,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2023,4,11
0.00,52.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11066,CMH,"Columbus, OH",OH,14785,SGH,"Springfield, OH",OH,2023,2,6
0.00,52.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",14785,SGH,"Springfield, OH",OH,11066,CMH,"Columbus, OH",OH,2023,2,6
