PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10874,CAK,"Akron, OH",OH,10874,CAK,"Akron, OH",OH,2021,3,7
0.00,0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11267,DAY,"Dayton, OH",OH,11267,DAY,"Dayton, OH",OH,2021,1,2
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,1,3
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,2,5
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,3,8
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,3,9
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,4,10
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2021,4,11
0.00,0.00,KAQ,Kalitta Air LLC,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2021,2,4
0.00,0.00,KAQ,Kalitta Air LLC,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2021,2,5
0.00,14.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,13105,LUK,"Cincinnati, OH",OH,11193,CVG,"Cincinnati, OH",KY,2021,2,6
0.00,40.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10874,CAK,"Akron, OH",OH,11042,CLE,"Cleveland, OH",OH,2021,4,12
0.00,40.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,CLE,"Cleveland, OH",OH,10874,CAK,"Akron, OH",OH,2021,2,5
0.00,47.00,AMQ,Ameristar Air Cargo,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2021,3,7
