PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,7
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,8
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,10
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,11
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,12
0.00,102.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12223,HTS,"Ashland, WV",WV,2018,2,4
0.00,106.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,3,7
0.00,106.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,4,11
0.00,106.00,FX,Federal Express Corporation,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2018,4,10
0.00,106.00,G4,Allegiant Air,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2018,2,6
0.00,106.00,UA,United Air Lines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2018,1,3
0.00,106.00,WN,Southwest Airlines Co.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2018,2,5
0.00,106.00,YV,Mesa Airlines Inc.,14122,PIT,"Pittsburgh, PA",PA,11042,CLE,"Cleveland, OH",OH,2018,3,7
0.00,107.00,5Y,Atlas Air Inc.,12917,LCK,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2018,4,11
0.00,107.00,G4,Allegiant Air,11193,CVG,"Cincinnati, OH",KY,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,107.00,G4,Allegiant Air,12917,LCK,"Columbus, OH",OH,11193,CVG,"Cincinnati, OH",KY,2018,2,6
0.00,109.00,27Q,"Jet Aviation Flight Services, Inc.",13105,LUK,"Cincinnati, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,3
0.00,111.00,FX,Federal Express Corporation,11267,DAY,"Dayton, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,1
0.00,111.00,FX,Federal Express Corporation,11267,DAY,"Dayton, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,4,12
0.00,111.00,GL,Miami Air International,12339,IND,"Indianapolis, IN",IN,11267,DAY,"Dayton, OH",OH,2018,1,3
0.00,112.00,C5,CommuteAir LLC dba CommuteAir,11066,CMH,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,2,4
0.00,112.00,UA,United Air Lines Inc.,11066,CMH,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,1,1
0.00,112.00,YV,Mesa Airlines Inc.,11042,CLE,"Cleveland, OH",OH,11066,CMH,"Columbus, OH",OH,2018,2,6
0.00,115.00,YV,Mesa Airlines Inc.,11193,CVG,"Cincinnati, OH",KY,11066,CMH,"Columbus, OH",OH,2018,3,8
0.00,118.00,DL,Delta Air Lines Inc.,14275,PTK,"Pontiac, MI",MI,11042,CLE,"Cleveland, OH",OH,2018,1,2
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,1,1
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,1,2
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,1,3
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,2,4
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,2,5
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,3,7
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,3,8
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,4,10
0.00,124.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,12917,LCK,"Columbus, OH",OH,2018,4,11
0.00,124.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,3,9
0.00,124.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,4,10
0.00,132.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,11146,CRW,"Charleston/Dunbar, WV",WV,2018,2,6
0.00,136.00,8C,Air Transport International,12324,ILN,"Wilmington, OH",OH,14730,SDF,"Louisville, KY",KY,2018,4,12
0.00,139.00,AMQ,Ameristar Air Cargo,11823,FWA,"Fort Wayne, IN",IN,11066,CMH,"Columbus, OH",OH,2018,1,1
