PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2022,1,1
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2022,1,2
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2022,1,3
0.00,0.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2022,2,5
0.00,0.00,KD,Western Global,11066,CMH,"Columbus, OH",OH,11066,CMH,"Columbus, OH",OH,2022,2,4
0.00,0.00,KD,Western Global,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2022,1,1
0.00,40.00,SY,Sun Country Airlines d/b/a MN Airlines,11042,CLE,"Cleveland, OH",OH,10874,CAK,"Akron, OH",OH,2022,1,2
0.00,43.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,10647,BKL,"Cleveland, OH",OH,10874,CAK,"Akron, OH",OH,2022,4,10
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2022,1,1
0.00,47.00,KLQ,Kalitta Charters II,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2022,4,12
0.00,49.00,GCA,"Global Crossing Airlines, Inc.",11433,DTW,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2022,3,9
0.00,54.00,5Y,Atlas Air Inc.,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2022,2,6
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2022,1,2
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2022,1,3
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2022,2,5
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2022,2,6
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2022,3,8
0.00,54.00,8C,Air Transport International,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2022,1,3
0.00,54.00,8C,Air Transport International,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2022,2,6
0.00,54.00,8C,Air Transport International,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2022,3,8
0.00,54.00,8C,Air Transport International,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2022,3,9
